0.01 -5.13902 0.391295  -0.991089
0.02 -4.16067 0.338266  -0.992922
0.03 -3.65702 0.274275  -0.990833
0.04 -3.12623 -0.0816916  -0.995288
0.05 -2.85756 -0.330867  -0.998191
0.06 -2.8149 -0.384813  -0.997098
0.07 -2.70621 -0.584501  -0.996449
0.08 -2.67991 -0.685511  -0.995859
0.09 -2.76982 -0.587327  -0.995008
0.1 -2.75591 -0.625212  -0.995873
0.11 -2.65835 -0.819381  -0.998164
0.12 -2.71454 -0.729065  -0.993654
0.13 -2.63509 -0.854087  -0.995899
0.14 -2.73324 -0.727356  -0.996806
0.15 -2.76195 -0.596422  -0.996771
0.16 -2.7981 -0.533015  -0.996719
0.17 -2.83178 -0.498529  -0.995802
0.18 -2.75662 -0.615846  -0.996084
0.19 -2.79035 -0.570209  -0.996526
0.2 -2.80439 -0.539331  -0.997962
0.21 -2.73055 -0.630344  -0.994594
0.22 -2.67491 -0.809472  -0.994627
0.23 -2.76536 -0.594252  -0.997438
0.24 -2.79677 -0.543222  -0.997428
0.25 -2.78459 -0.542497  -0.997471
0.26 -2.71697 -0.662984  -0.994304
0.27 -2.75163 -0.610906  -0.994186
0.28 -2.78491 -0.576961  -0.994257
0.29 -2.81972 -0.520349  -0.997712
0.3 -2.78715 -0.549074  -0.995679
0.31 -2.72944 -0.655403  -0.995733
0.32 -2.77984 -0.562838  -0.997082
0.33 -2.75858 -0.600134  -0.995504
0.34 -2.7885 -0.552871  -0.996612
0.35 -2.76377 -0.601618  -0.996499
0.36 -2.72023 -0.646215  -0.994634
0.37 -2.75822 -0.591751  -0.996722
0.38 -2.76237 -0.588473  -0.996937
0.39 -2.78741 -0.540932  -0.994982
0.4 -2.7604 -0.57101  -0.991893
0.41 -2.76972 -0.575914  -0.99636
0.42 -2.70972 -0.661803  -0.995409
0.43 -2.85845 -0.459591  -0.995768
0.44 -2.7788 -0.563397  -0.996595
0.45 -2.76242 -0.594725  -0.99652
0.46 -2.81964 -0.514162  -0.994326
0.47 -2.74644 -0.60201  -0.996616
0.48 -2.67249 -0.710399  -0.994771
0.49 -2.77853 -0.575543  -0.996051
0.5 -2.77379 -0.600629  -0.994298
0.51 -2.78043 -0.573001  -0.994483
0.52 -2.86817 -0.461443  -0.996409
0.53 -2.8599 -0.457684  -0.99524
0.54 -2.77952 -0.554736  -0.996536
0.55 -2.71313 -0.654518  -0.99514
0.56 -2.75129 -0.591653  -0.996305
0.57 -2.81955 -0.50532  -0.996087
0.58 -2.77536 -0.563951  -0.996154
0.59 -2.80629 -0.524391  -0.997554
0.6 -2.76835 -0.588823  -0.996812
0.61 -2.74986 -0.617231  -0.995364
0.62 -2.84026 -0.475097  -0.996136
0.63 -2.77341 -0.552208  -0.997828
0.64 -2.7293 -0.627083  -0.995588
0.65 -2.75482 -0.614939  -0.996191
0.66 -2.75214 -0.605665  -0.99659
0.67 -2.78396 -0.5641  -0.996298
0.68 -2.78916 -0.560485  -0.994465
0.69 -2.74145 -0.622707  -0.995604
0.7 -2.77125 -0.584284  -0.995855
0.71 -2.73404 -0.664862  -0.992946
0.72 -2.82017 -0.539017  -0.997754
0.73 -2.84825 -0.485669  -0.994066
0.74 -2.72624 -0.707189  -0.998558
0.75 -2.80676 -0.512968  -0.995172
0.76 -2.73995 -0.606836  -0.995773
0.77 -2.75401 -0.607093  -0.995459
0.78 -2.83576 -0.494594  -0.996602
0.79 -2.7849 -0.545079  -0.995867
0.8 -2.69763 -0.676384  -0.995452
0.81 -2.71153 -0.670489  -0.994903
0.82 -2.77021 -0.586525  -0.995129
0.83 -2.74275 -0.620926  -0.995717
0.84 -2.75387 -0.616187  -0.995227
0.85 -2.82366 -0.510146  -0.994665
0.86 -2.77074 -0.592084  -0.993388
0.87 -2.69057 -0.700586  -0.99467
0.88 -2.75154 -0.617987  -0.99534
0.89 -2.72084 -0.663193  -0.996631
0.9 -2.76733 -0.59602  -0.9965
0.91 -2.72528 -0.649113  -0.997002
0.92 -2.727 -0.66061  -0.994157
0.93 -2.78138 -0.562748  -0.997064
0.94 -2.79482 -0.544162  -0.996801
0.95 -2.77856 -0.551509  -0.995473
0.96 -2.76756 -0.570138  -0.995179
0.97 -2.78052 -0.558147  -0.994644
0.98 -2.80829 -0.532034  -0.996285
0.99 -2.78984 -0.556982  -0.996235
